# id	vtype	vpath	effect	audio	audio_sec	gap_after	caption
1	video	clips/hook.mp4	none	narration/line1.wav	6.330000	0.4	Hi, I'm Aarav. This is a story about an apartment that held fifty-two degrees at seven in the morning, eleven mornings in a row.
2	image	diagrams/problem.png	zoomhold	narration/line2.wav	15.200000	0.4	The tenant's landlord stopped answering in January. What the tenant didn't know is that the city already had a file on the building: 2315 Barnes Avenue in the Bronx, 102 open class C violations, the oldest open for 601 days.
3	image	diagrams/two-sessions.png	none	narration/line3.wav	7.650000	0.4	Heatline is a shared case page for a tenant and a legal aid advocate. Each of them gets their own agent, on the same page, with different tools.
4	image	diagrams/pipeline.png	none	narration/line4.wav	11.040000	0.4	The data is New York's own housing enforcement record: HPD violations, complaints, 311 heat calls, and owner registrations, pulled by SODA query with the exact URL kept beside every number.
5	video	clips/5.mp4	none	narration/line5.wav	10.600000	0.4	Here is the tenant's window. The agent calls building violation history with no arguments and reads the record straight off the case. 102 open class C. 601 days.
6	video	clips/6.mp4	none	narration/line6.wav	16.280000	0.4	The tenant says: no heat again, fifty-two degrees at seven. Match condition to code returns section 27-2029, the heat rule, 68 degrees from six in the morning to ten at night. Log condition fires. A card asks the tenant to confirm. A person clicks it, not the agent.
7	video	clips/7.mp4	none	narration/line7.wav	14.640000	0.4	Now the advocate's window, same case. Nine tools. Assemble HP action packet and request evidence are here. File packet and log condition are not. The server checks the same thing on every write, so a forged call gets a 403.
8	video	clips/8.mp4	none	narration/line8.wav	6.410000	0.4	The advocate's agent asks the tenant for a photo of the thermostat. It lands in the tenant's window without a reload.
9	video	clips/9.mp4	none	narration/line9.wav	8.800000	0.4	Then it assembles the packet: parties from the registration, conditions with their code sections, the building record, the timeline, relief sought. Confirm.
10	video	clips/10.mp4	none	narration/line10.wav	5.120000	0.4	Back in the tenant's window, the agent calls file packet. One draft waiting. Confirm. Filed.
11	video	clips/11.mp4	none	narration/line11.wav	6.720000	0.4	Last, the 311 complaint. It's a declarative WebMCP form. The agent fills every field. Only a human presses Send.
12	image	diagrams/two-sessions.png	none	narration/line12.wav	9.400000	0.4	No chatbot wrapper can do this, because nothing else knows which window is asking. The page declares its own tools, the roles are capability keys, and every write goes through a person.
13	image	diagrams/pipeline.png	none	narration/line13.wav	7.810000	0.8	The city's own record was always public. Now the tenant's agent can read it, and the advocate's agent can build the case from it. That's Heatline.
end	slide	assemble/slides/endcard.png	none	-	1.6	0	
